ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,enfa
high,-0.011366008429230436,-0.012428932460212316,-0.03311019030260556,0.018414296702439468,0.5216578149933261,0.48433332187526923,0.1291518172308713,0.969414965237049,0.01020408163265306,-3.142091239699236e-4,-4.99304414563208e-4,-9.770255218880457e-4,0.0012756179027416034,0.7335725879729993,0.7349378242637057,0.5955232850809935,0.8246208600740323,Mammals,marginality
int,-0.007502369614313834,-0.008636558558044478,-0.02422824037131458,0.013592193246133517,0.5613709875382155,0.551877725780168,0.15524704665503922,0.9767468369774404,0,-4.3498980174008973e-4,-6.316586396647174e-4,-9.776296669784888e-4,0.0010004817974095148,0.7333190313727193,0.734908530566631,0.5951304979460391,0.8244680696440873,Mammals,marginality
low,-0.0059501412273555475,-0.007010542764035864,-0.020414748400648393,0.011433834916077048,0.5842745115373474,0.583828776431703,0.18359882044989112,0.9883901924996207,0,-5.017825277799805e-4,-6.844173422220952e-4,-9.78263687014523e-4,7.528540698429813e-4,0.7332615589534006,0.7350764644499156,0.59503377386199,0.8244345017137749,Mammals,marginality
high,-0.044631200805341664,-0.044912118111694356,-0.05415682936590979,-0.03425707790756462,0.0016896784975543588,7.21032799671395e-4,3.3150815873994604e-5,0.009547641766970847,1,0.005636394124909443,0.005533775935956066,0.0030482634888048593,0.008592818571766001,0.42184735094226455,0.4188124718706785,0.28603854449906696,0.5459841692902506,Aves,marginality
int,-0.03800527211879067,-0.038200584796576904,-0.04619258175354833,-0.02866913843359942,0.002126759222817827,9.584988050026499e-4,5.248692603040394e-5,0.01279881122764347,1,0.005355406069064467,0.005254769105155809,0.002774568274095295,0.008163662433354759,0.4211688028649692,0.41809562051646587,0.2850493288331266,0.5456244271512284,Aves,marginality
low,-0.03261030786510763,-0.032477032227620724,-0.0403062344562331,-0.024149849523866056,0.0031243820285089654,0.0015184588221253126,7.855130714454762e-5,0.018196948013972394,1,0.0049171639032256015,0.004805088795319946,0.0024524497398542423,0.007765705044715013,0.42089614627380134,0.41797857188114085,0.28441256886640226,0.5456352820005984,Aves,marginality
high,-0.006381630052718467,-0.006568702949304148,-0.02465536330216115,0.01819583063371993,0.43824984958763297,0.40389133597673765,0.027566050663382812,0.9700260525024733,0.05,1.622651396983036e-4,-1.708137492577283e-4,-5.638529130958343e-4,0.002175314034496581,0.6099091616416014,0.6146397081884911,0.5237038414498296,0.68547626057155,Reptiles,marginality
int,-0.006649317558161019,-0.0066998928585984985,-0.02281727484299064,0.01475420823324923,0.40263497829916367,0.31724825172698856,0.021943916125692513,0.901266506236017,0.06,2.2641663144004173e-4,5.486988544590984e-7,-5.557781782024273e-4,0.0024034128883920224,0.6096286382836567,0.6143072004905674,0.5233608391948542,0.6852537499657448,Reptiles,marginality
low,-0.006799505707185573,-0.006735386759415123,-0.02149763679350368,0.012260293948577885,0.379063850752194,0.3167633673978161,0.014854237677516513,0.8968650044797836,0.07,2.809003966595061e-4,1.6158294601498054e-6,-5.551562250332139e-4,0.002783038409385201,0.6093834662666878,0.6140921692038008,0.5230608615685979,0.6850599600154922,Reptiles,marginality
high,-0.008513546583799273,-0.009054082742467585,-0.024435239879223206,0.0063755669097943415,0.4619289279834046,0.416510936562305,0.030581008853149717,0.9793578442548472,0.08,7.657005574679652e-5,-2.4164892243065797e-4,-7.117733769459346e-4,0.002616843747730975,0.7352321672012369,0.7383701295456623,0.6575544935234743,0.7970411806220756,Amphibians,marginality
int,-0.008806998540788391,-0.00909297257721807,-0.023079045160750985,0.004211571438554166,0.4278901135225438,0.36849065122845504,0.021471354509548957,0.9530253426557747,0.08,2.164287773491312e-4,-1.3576586521572604e-4,-7.097764507685858e-4,0.003058016386575676,0.7349964241297228,0.7382494215998108,0.6572527299774175,0.7968612980691976,Amphibians,marginality
low,-0.009075320182927697,-0.009393229428613616,-0.022079843004321753,0.002714928319445642,0.3984500905648798,0.30884926819781366,0.01637735376277091,0.9755280846586438,0.09,3.569643952978366e-4,2.5867870484557955e-5,-7.115792314048885e-4,0.0034296645251762027,0.7347620914630318,0.7379540316417432,0.6569525786878262,0.7966840459787063,Amphibians,marginality
high,-0.07384810032364812,-0.07143146266308734,-0.15128395753714038,0.010527457848844526,0.29900015353211296,0.24368624077382373,0.013315963860279952,0.8866306733094609,0.11224489795918367,9.015340663699497e-4,3.525042122060072e-4,-9.58119694267562e-4,0.005057595029576421,0.6694859251363441,0.6697639214320086,0.5548065464353754,0.7617584220270708,Mammals,specialization
int,-0.058607390988850046,-0.0548274984964941,-0.1156663351538357,0.004926907063847252,0.2927891159734291,0.2470320139533888,0.015474085260301463,0.9115368413147982,0.16326530612244897,9.156013973734828e-4,3.340726621435598e-4,-9.661855180939792e-4,0.0047667260667087295,0.6694613049208901,0.6695007138948734,0.5547750603503726,0.7617332686676652,Mammals,specialization
low,-0.05199638486629983,-0.049797248764039626,-0.10095679578258022,7.647672236638306e-4,0.2860444621214968,0.22939623490762084,0.01638933485694385,0.8619604231348617,0.15306122448979592,9.360227299489607e-4,4.361988144689642e-4,-9.446884347987609e-4,0.004659119533740289,0.6694308383482075,0.669388317954558,0.5547452546014564,0.7617015642683362,Mammals,specialization
high,-0.14346203083672684,-0.1414538501115026,-0.17154162699669717,-0.12212058519479352,2.4357109906814055e-5,7.3220997248713005e-6,7.983742768002955e-8,1.5216219424328792e-4,1,0.010440479360831239,0.010111444903346707,0.00708079947452203,0.01470395761741616,0.17259386745517552,0.17240610458835387,0.08090551843919322,0.29148842473334163,Aves,specialization
int,-0.12555269133342525,-0.12447154146394904,-0.149270675622946,-0.10654314696443898,1.8333957251546183e-5,6.0426941019819935e-6,5.879988537182968e-8,1.1286424433359906e-4,1,0.01066520459052167,0.010303484703381539,0.007372110641596599,0.015007798004615512,0.17012392079575084,0.16972238453176208,0.07878958667456579,0.2891089789946606,Aves,specialization
low,-0.11125289910456161,-0.11005084554705434,-0.1316733230429972,-0.09411833315873785,1.6947119212553653e-5,5.938312952924463e-6,5.8291485299788453e-8,9.472632756976073e-5,1,0.010685164321373614,0.010327606883624798,0.007543643988947054,0.015018621940358363,0.16736348352531932,0.16744217413622098,0.07637099426306203,0.2865758096694358,Aves,specialization
high,-0.07278055154154067,-0.0713778047868821,-0.12429325694101892,-0.01895403793785734,0.11072855152072199,0.04781415005408507,7.398588675543105e-4,0.6096508534955433,0.51,0.002002649684686521,0.0016463428078599578,-4.0797319380088165e-4,0.005856778171157652,0.48036759244077804,0.4791715143071042,0.37359987418595475,0.5787438302351728,Reptiles,specialization
int,-0.06580384595514101,-0.06521849200351441,-0.11129109825684215,-0.014866828279039276,0.1009497314331072,0.042036551274344025,6.503874573968394e-4,0.6500752061033079,0.55,0.0020748693892000854,0.001768723493548024,-4.449794690194642e-4,0.0059853344409078815,0.48019619857599016,0.47840883271952084,0.37337084024619777,0.5786180382969863,Reptiles,specialization
low,-0.06084599555958614,-0.060250593078421164,-0.10051460964020997,-0.012734485069063443,0.09162029700274626,0.040277882090555606,6.871339295876411e-4,0.6674889971146816,0.57,0.002147785138698094,0.001809559882557679,-4.5975629761823905e-4,0.005927024295820247,0.48013701665774206,0.4783238478600932,0.37328942635750706,0.5785748893223087,Reptiles,specialization
high,-0.0569725066994429,-0.05845615339837867,-0.10279518508357927,-0.005649430114600751,0.18610199157246438,0.08136965043701605,0.0021481907173935555,0.8323252129929516,0.41,0.0018366731063957531,0.0014510624319092375,-6.767457597755078e-4,0.0060318020964791035,0.36907529236937947,0.3740445692929605,0.2528727707383626,0.4905778562145017,Amphibians,specialization
int,-0.05368650830187646,-0.054695556784552284,-0.09347712955896247,-0.009603142215354181,0.15980303001383026,0.06591868098287956,0.0016587827726550208,0.7490952007732022,0.43,0.002104641245522201,0.0016961344847830455,-6.287845718479282e-4,0.006372702479563245,0.36827744484659874,0.3728124044175878,0.25217454851184146,0.489778199727104,Amphibians,specialization
low,-0.05234510517902,-0.05270842662161645,-0.08898686803007397,-0.012843195273849748,0.13134081268032408,0.04920926281142668,9.668239588397409e-4,0.6373351432203793,0.51,0.002434709437968658,0.0020420805904934323,-5.456387777892666e-4,0.007028623341584604,0.36741762413533435,0.3718021562632959,0.2514316741167785,0.4889114374854286,Amphibians,specialization
